,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
3573,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,J CIRCUIT SYST COMP,0218-1266,1793-6454,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,090",1.278,Q4,0.32,0.68%
3574,JOURNAL OF CLASSIFICATION,J CLASSIF,0176-4268,1432-1343,"PSYCHOLOGY, MATHEMATICAL - SSCI","2,475",1.333,Q4,0.51,16.52%
3575,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,J CLIN EXP NEUROPSYC,1380-3395,1744-411X,"PSYCHOLOGY, CLINICAL - SSCI","6,768",2.283,Q3,0.63,8.19%
3577,JOURNAL OF CLINICAL AND TRANSLATIONAL ENDOCRINOLOGY,J CLIN TRANSL ENDOCR,2214-6237,2214-6237,ENDOCRINOLOGY & METABOLISM - ESCI,681,,,0.52,99.03%
3578,JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,J CLIN BIOCHEM NUTR,0912-0009,1880-5086,NUTRITION & DIETETICS - SCIE,"3,159",3.179,Q3,0.64,99.13%
3579,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,J CLIN CHILD ADOLESC,1537-4416,1537-4424,"PSYCHOLOGY, CLINICAL - SSCI","8,215",5.077,Q1,1.51,4.67%
3580,JOURNAL OF CLINICAL DENSITOMETRY,J CLIN DENSITOM,1094-6950,1559-0747,ENDOCRINOLOGY & METABOLISM - SCIE,"2,679",2.963,Q3,0.62,3.24%
3581,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,J CLIN ENDOCR METAB,0021-972X,1945-7197,ENDOCRINOLOGY & METABOLISM - SCIE,"94,486",6.134,Q1,1.32,16.33%
3582,JOURNAL OF CLINICAL EPIDEMIOLOGY,J CLIN EPIDEMIOL,0895-4356,1878-5921,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","44,451",7.407,Q1,1.68,29.59%
3583,JOURNAL OF CLINICAL HYPERTENSION,J CLIN HYPERTENS,1524-6175,1751-7176,PERIPHERAL VASCULAR DISEASE - SCIE,"5,433",2.885,Q3,0.57,33.04%
3584,JOURNAL OF CLINICAL IMAGING SCIENCE,J CLIN IMAG SCI,2156-7514,2156-5597,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",745,,,0.23,95.11%
3585,JOURNAL OF CLINICAL IMMUNOLOGY,J CLIN IMMUNOL,0271-9142,1573-2592,IMMUNOLOGY - SCIE,"7,393",8.542,Q1,1.24,26.13%
3586,JOURNAL OF CLINICAL LIPIDOLOGY,J CLIN LIPIDOL,1933-2874,1876-4789,PHARMACOLOGY & PHARMACY - SCIE,"4,145",5.365,Q1,1.31,17.62%
3587,JOURNAL OF CLINICAL NEUROLOGY,J CLIN NEUROL,1738-6586,2005-5013,CLINICAL NEUROLOGY - SCIE,"2,178",2.566,Q3,0.63,100%
3588,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,J CLIN NEUROPHYSIOL,0736-0258,1537-1603,NEUROSCIENCES - SCIE,"4,292",2.59,Q4,0.41,2.70%
3590,JOURNAL OF CLINICAL NEUROSCIENCE,J CLIN NEUROSCI,0967-5868,1532-2653,CLINICAL NEUROLOGY - SCIE,"12,700",2.116,Q4,0.48,2.60%
3592,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,1527-7755,ONCOLOGY - SCIE,"195,709",50.717,Q1,5.62,23.95%
3593,JOURNAL OF CLINICAL PHARMACOLOGY,J CLIN PHARMACOL,0091-2700,1552-4604,PHARMACOLOGY & PHARMACY - SCIE,"8,457",2.86,Q3,0.76,26.91%
3594,JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,J CLIN PHARM THER,0269-4727,1365-2710,PHARMACOLOGY & PHARMACY - SCIE,"4,208",2.145,Q4,0.46,7.79%
3595,JOURNAL OF CLINICAL PSYCHIATRY,J CLIN PSYCHIAT,0160-6689,1555-2101,"PSYCHOLOGY, CLINICAL - SSCI","21,832",5.906,Q1,1.1,0%
3596,JOURNAL OF CLINICAL PSYCHOLOGY,J CLIN PSYCHOL,0021-9762,1097-4679,"PSYCHOLOGY, CLINICAL - SSCI","12,888",2.995,Q3,0.78,9.69%
3597,JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,J CLIN PSYCHOL MED S,1068-9583,1573-3572,"PSYCHOLOGY, CLINICAL - SSCI","1,805",1.977,Q4,0.63,8.49%
3598,JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,J CLIN PSYCHOPHARM,0271-0749,1533-712X,PHARMACOLOGY & PHARMACY - SCIE,"5,528",3.118,Q3,0.57,10.71%
3599,JOURNAL OF CLINICAL RESEARCH IN PEDIATRIC ENDOCRINOLOGY,J CLIN RES PEDIATR E,1308-5727,1308-5735,ENDOCRINOLOGY & METABOLISM - SCIE,"1,602",2.016,Q4,0.61,100%
3600,JOURNAL OF CLINICAL SLEEP MEDICINE,J CLIN SLEEP MED,1550-9389,1550-9397,CLINICAL NEUROLOGY - SCIE,"11,389",4.324,Q2,0.96,0%
3601,JOURNAL OF CLINICAL SPORT PSYCHOLOGY,J CLIN SPORT PSYCHOL,1932-9261,1932-927X,"PSYCHOLOGY, APPLIED - SSCI",782,1.968,Q4,0.52,0%
3602,JOURNAL OF CLINICAL ULTRASOUND,J CLIN ULTRASOUND,0091-2751,1097-0096,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","2,619",0.869,Q4,0.25,2.89%
3603,JOURNAL OF CO2 UTILIZATION,J CO2 UTIL,2212-9820,2212-9839,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","11,642",8.321,Q1,1.18,4.29%
3605,JOURNAL OF COATINGS TECHNOLOGY AND RESEARCH,J COAT TECHNOL RES,1547-0091,1935-3804,"CHEMISTRY, APPLIED - SCIE","3,019",2.339,Q3,0.42,5.29%
3606,JOURNAL OF COGNITION AND CULTURE,J COGN CULT,1567-7095,1568-5373,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",581,,,0.26,8.82%
3607,JOURNAL OF COGNITION AND DEVELOPMENT,J COGN DEV,1524-8372,1532-7647,"PSYCHOLOGY, EXPERIMENTAL - SSCI","1,964",2.58,Q3,0.66,10.53%
3608,JOURNAL OF COGNITIVE ENGINEERING AND DECISION MAKING,J COGN ENG DECIS MAK,1555-3434,2169-5032,"PSYCHOLOGY, APPLIED - ESCI",629,,,0.59,19.05%
3609,JOURNAL OF COGNITIVE ENHANCEMENT,J COGN ENHANCE,2509-3290,2509-3304,NEUROSCIENCES - ESCI,488,,,0.46,28.06%
3610,JOURNAL OF COGNITIVE NEUROSCIENCE,J COGNITIVE NEUROSCI,0898-929X,1530-8898,"PSYCHOLOGY, EXPERIMENTAL - SSCI","18,253",3.42,Q2,0.88,6.09%
3612,JOURNAL OF COGNITIVE PSYCHOLOGY,J COGN PSYCHOL,2044-5911,2044-592X,"PSYCHOLOGY, EXPERIMENTAL - SSCI","1,486",1.279,Q4,0.31,15.61%
3613,JOURNAL OF COGNITIVE PSYCHOTHERAPY,J COGN PSYCHOTHER,0889-8391,1938-887X,"PSYCHOLOGY, CLINICAL - SSCI","1,148",0.813,Q4,0.2,0%
3614,JOURNAL OF COLLEGE COUNSELING,J COLL COUNS,1099-0399,2161-1882,"PSYCHOLOGY, APPLIED - ESCI",762,,,0.31,1.79%
3615,JOURNAL OF COLLEGE STUDENT DEVELOPMENT,J COLL STUDENT DEV,0897-5264,1543-3382,"PSYCHOLOGY, APPLIED - SSCI","4,164",2.051,Q3,0.9,0%
3616,JOURNAL OF COLLEGE STUDENT PSYCHOTHERAPY,J COLL STUD PSYCH,8756-8225,1540-4730,"PSYCHOLOGY, APPLIED - ESCI",539,,,0.27,2.08%
3617,JOURNAL OF COLLOID AND INTERFACE SCIENCE,J COLLOID INTERF SCI,0021-9797,1095-7103,"CHEMISTRY, PHYSICAL - SCIE","114,547",9.965,Q1,1.37,3.76%
3618,JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,1382-6905,1573-2886,"MATHEMATICS, APPLIED - SCIE","1,878",1.254,Q3,0.38,7.17%
3619,JOURNAL OF COMBINATORICS,J COMB,2156-3527,2150-959X,"MATHEMATICS, APPLIED - ESCI",168,,,0.32,0%
3620,JOURNAL OF COMMUNICATION DISORDERS,J COMMUN DISORD,0021-9924,1873-7994,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,"2,813",1.864,Q3,0.98,8.60%
3621,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,J COMMUN TECHNOL EL+,1064-2269,1555-6557,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","1,041",0.495,Q4,0.13,0%
3622,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,J COMMUNITY APPL SOC,1052-9284,1099-1298,"PSYCHOLOGY, SOCIAL - SSCI","2,266",2.968,Q3,0.74,23.37%
3623,JOURNAL OF COMMUNITY HEALTH,J COMMUN HEALTH,0094-5145,1573-3610,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","5,823",4.371,Q2,1.09,6.16%
3624,JOURNAL OF COMMUNITY PSYCHOLOGY,J COMMUNITY PSYCHOL,0090-4392,1520-6629,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","5,038",2.297,Q3,0.83,5.95%
3626,JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,0021-9967,1096-9861,NEUROSCIENCES - SCIE,"32,298",3.028,Q3,1.13,16.39%
3627,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,0340-7594,1432-1351,NEUROSCIENCES - SCIE,"5,751",2.389,Q4,0.67,28.16%
3630,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,J COMP PHYSIOL B,0174-1578,1432-136X,PHYSIOLOGY - SCIE,"5,041",2.23,Q4,0.9,13.90%
3632,JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,0735-7036,1939-2087,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","3,243",2.318,Q3,0.86,0%
3633,JOURNAL OF COMPLEMENTARY MEDICINE RESEARCH,J COMPL MED RES,2146-8397,2577-5669,PHARMACOLOGY & PHARMACY - ESCI,141,,,0.13,0%
3634,JOURNAL OF COMPLEXITY,J COMPLEXITY,0885-064X,1090-2708,"MATHEMATICS, APPLIED - SCIE","1,207",1.333,Q3,0.79,6.03%
3635,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,0377-0427,1879-1778,"MATHEMATICS, APPLIED - SCIE","21,758",2.872,Q1,1.54,2.63%
3636,JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS,J COMPUT NONLIN DYN,1555-1423,1555-1415,"ENGINEERING, MECHANICAL - SCIE","2,300",1.872,Q3,0.6,0.34%
3637,JOURNAL OF COMPUTATIONAL AND THEORETICAL TRANSPORT,J COMPUT THEOR TRANS,2332-4309,2332-4325,"MATHEMATICS, APPLIED - SCIE; PHYSICS, MATHEMATICAL - SCIE",474,0.348,Q4,0.22,12.07%
3638,JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1066-5277,1557-8666,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,179,1.324,Q3,,
3640,JOURNAL OF COMPUTATIONAL BIOPHYSICS AND CHEMISTRY,J COMPUT BIOPHYS CHE,2737-4165,2737-4173,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",60,,,,3.13%
3642,JOURNAL OF COMPUTATIONAL CHEMISTRY,J COMPUT CHEM,0192-8651,1096-987X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","53,262",3.672,Q2,0.57,9.41%
3644,JOURNAL OF COMPUTATIONAL DYNAMICS,J COMPUT DYNAM,2158-2491,2158-2505,"MATHEMATICS, APPLIED - ESCI",117,,,0.75,100%
3645,JOURNAL OF COMPUTATIONAL ELECTRONICS,J COMPUT ELECTRON,1569-8025,1572-8137,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,239",1.983,Q3,0.44,6.36%
3646,JOURNAL OF COMPUTATIONAL MATHEMATICS,J COMPUT MATH,0254-9409,1991-7139,"MATHEMATICS, APPLIED - SCIE","1,157",1.129,Q3,0.69,0%
3647,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,J COMPUT NEUROSCI,0929-5313,1573-6873,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE; NEUROSCIENCES - SCIE,"1,982",1.453,Q4,0.41,8.89%
3648,JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,0021-9991,1090-2716,"PHYSICS, MATHEMATICAL - SCIE","68,920",4.645,Q1,1.21,4.96%
3649,JOURNAL OF COMPUTER AIDED CHEMISTRY,J COMPUT AIDED CHEM,1345-8647,1345-8647,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",31,,,0.03,100%
3651,JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,J COMPUT ASSIST TOMO,0363-8715,1532-3145,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5,800",2.081,Q3,0.46,5.45%
3652,JOURNAL OF COMPUTER CHEMISTRY-JAPAN,J COMPUT CHEM-JPN,1347-1767,1347-3824,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",93,,,0.04,98.89%
3654,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,0920-654X,1573-4951,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,233",2.612,Q2,,
3657,JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,J CONSTR PSYCHOL,1072-0537,1521-0650,"PSYCHOLOGY, CLINICAL - SSCI",523,0.842,Q4,0.24,5.73%
3658,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,J CONSULT CLIN PSYCH,0022-006X,1939-2117,"PSYCHOLOGY, CLINICAL - SSCI","27,657",7.156,Q1,1.84,1.09%
3659,JOURNAL OF CONSUMER HEALTH ON THE INTERNET,J CONS HLTH INTERNET,1539-8285,1539-8293,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,128",,,0.15,0.95%
3660,JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,1057-7408,1532-7663,"PSYCHOLOGY, APPLIED - SSCI","8,963",4.551,Q2,0.97,7.98%
3661,JOURNAL OF CONTEMPORARY BRACHYTHERAPY,J CONTEMP BRACHYTHER,1689-832X,2081-2841,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,030",1.788,Q4,0.38,100%
3663,JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,J CONTEMP PSYCHOTHER,0022-0116,1573-3564,"PSYCHOLOGY, CLINICAL - ESCI",912,,,2.34,18.10%
3664,JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,J CONTEXT BEHAV SCI,2212-1447,2212-1455,"PSYCHOLOGY, CLINICAL - SSCI","2,153",5.138,Q1,1.18,5.62%
3665,JOURNAL OF CONTROL AND DECISION,J CONTROL DECIS,2330-7706,2330-7714,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",259,,,0.51,0%
3666,JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,0168-3659,1873-4995,PHARMACOLOGY & PHARMACY - SCIE,"67,680",11.467,Q1,2.01,9.83%
3669,JOURNAL OF CORRECTIONAL HEALTH CARE,J CORRECT HEALTH CAR,1078-3458,1940-5200,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",642,1.545,Q4,0.39,0%
3670,JOURNAL OF COSMETIC AND LASER THERAPY,J COSMET LASER THER,1476-4172,1476-4180,DERMATOLOGY - SCIE,"1,371",1.982,Q3,0.68,3.47%
3671,JOURNAL OF COSMETIC DERMATOLOGY,J COSMET DERMATOL-US,1473-2130,1473-2165,DERMATOLOGY - SCIE,"4,888",2.189,Q3,0.73,9.94%
3672,JOURNAL OF COSMETIC SCIENCE,J COSMET SCI,1525-7886,,"CHEMISTRY, APPLIED - SCIE",632,0.732,Q4,0.2,0%
3674,JOURNAL OF COUNSELING AND DEVELOPMENT,J COUNS DEV,0748-9633,1556-6676,"PSYCHOLOGY, APPLIED - SSCI","3,731",2.455,Q3,0.69,0%
3675,JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,0022-0167,1939-2168,"PSYCHOLOGY, APPLIED - SSCI","13,343",5.088,Q2,1.65,0%
3676,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,J COUPLE RELATSH THE,1533-2691,1533-2683,"PSYCHOLOGY, CLINICAL - ESCI",391,,,0.34,0%
3677,JOURNAL OF CRANIOVERTEBRAL JUNCTION AND SPINE,J CRANIOVERTEBRAL JU,0974-8237,0976-9285,OTORHINOLARYNGOLOGY - ESCI,552,,,0.41,90.32%
3679,JOURNAL OF CREATIVITY IN MENTAL HEALTH,J CREAT MENT HEALTH,1540-1383,1540-1391,"PSYCHOLOGY, CLINICAL - ESCI",506,,,0.22,0.58%
3680,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,J CROSS CULT PSYCHOL,0022-0221,1552-5422,"PSYCHOLOGY, SOCIAL - SSCI","8,245",2.577,Q3,0.81,11.33%
3681,JOURNAL OF CRYPTOLOGY,J CRYPTOL,0933-2790,1432-1378,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","1,790",1.691,Q3,0.64,19.51%
3683,JOURNAL OF CULTURAL COGNITIVE SCIENCE,J CULT COGN SCI,2520-100X,2520-1018,"PSYCHOLOGY, EXPERIMENTAL - ESCI",113,,,0.35,23.88%
3684,JOURNAL OF CUTANEOUS IMMUNOLOGY AND ALLERGY,J CUTAN IMMUNOL ALL,,2574-4593,DERMATOLOGY - ESCI,58,,,0.14,97.73%
3686,JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,J CUTAN MED SURG,1203-4754,1615-7109,DERMATOLOGY - SCIE,"1,826",2.854,Q2,0.64,14.83%
3687,JOURNAL OF CUTANEOUS PATHOLOGY,J CUTAN PATHOL,0303-6987,1600-0560,DERMATOLOGY - SCIE,"4,640",1.458,Q4,0.45,2.34%
3688,JOURNAL OF DERMATOLOGICAL SCIENCE,J DERMATOL SCI,0923-1811,1873-569X,DERMATOLOGY - SCIE,"7,172",5.408,Q1,1.51,10.68%
3689,JOURNAL OF DERMATOLOGICAL TREATMENT,J DERMATOL TREAT,0954-6634,1471-1753,DERMATOLOGY - SCIE,"4,447",3.23,Q2,0.95,10.30%
3690,JOURNAL OF DERMATOLOGY,J DERMATOL,0385-2407,1346-8138,DERMATOLOGY - SCIE,"7,503",3.468,Q2,0.95,13.39%
3691,JOURNAL OF DERMATOLOGY & DERMATOLOGIC SURGERY-JDDS,J DERMATOL DERMATOL,2352-2410,2352-2429,DERMATOLOGY - ESCI,137,,,0.1,92.86%
3692,JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,J DEV ORIG HLTH DIS,2040-1744,2040-1752,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,983",3.034,Q3,0.74,11.96%
3693,JOURNAL OF DIABETES,J DIABETES,1753-0393,1753-0407,ENDOCRINOLOGY & METABOLISM - SCIE,"2,968",4.53,Q2,0.73,12.84%
3694,JOURNAL OF DIABETES AND ITS COMPLICATIONS,J DIABETES COMPLICAT,1056-8727,1873-460X,ENDOCRINOLOGY & METABOLISM - SCIE,"6,802",3.219,Q3,0.67,8.30%
3695,JOURNAL OF DIABETES AND METABOLIC DISORDERS,J DIABETES METAB DIS,,2251-6581,ENDOCRINOLOGY & METABOLISM - ESCI,"2,396",,,0.44,4.71%
3696,JOURNAL OF DIABETES INVESTIGATION,J DIABETES INVEST,2040-1116,2040-1124,ENDOCRINOLOGY & METABOLISM - SCIE,"4,824",3.681,Q3,0.73,95%
3697,JOURNAL OF DIABETES RESEARCH,J DIABETES RES,2314-6745,2314-6753,ENDOCRINOLOGY & METABOLISM - SCIE,"8,467",4.061,Q3,0.74,99.55%
3698,JOURNAL OF DIAGNOSTIC MEDICAL SONOGRAPHY,J DIAGN MED SONOG,8756-4793,1552-5430,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",571,,,0.1,2.19%
3699,JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,J DIFFER EQU APPL,1023-6198,1563-5120,"MATHEMATICS, APPLIED - SCIE","1,517",1.352,Q3,0.65,2.57%
3700,JOURNAL OF DIGITAL IMAGING,J DIGIT IMAGING,0897-1889,1618-727X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4,428",4.903,Q2,1.12,15.64%
3701,JOURNAL OF DISCRETE MATHEMATICAL SCIENCES & CRYPTOGRAPHY,J DISCRET MATH SCI C,0972-0529,2169-0065,"MATHEMATICS, APPLIED - ESCI",985,,,0.7,0%
3702,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,J DISPER SCI TECHNOL,0193-2691,1532-2351,"CHEMISTRY, PHYSICAL - SCIE","5,980",2.042,Q4,0.25,0.76%
3703,JOURNAL OF DIVERSITY IN HIGHER EDUCATION,J DIVERS HIGH EDUC,1938-8926,1938-8934,"PSYCHOLOGY, SOCIAL - SSCI","1,605",4.762,Q2,1.4,0%
3704,JOURNAL OF DRUG ASSESSMENT,J DRUG ASSESS,1369-9474,2155-6660,PHARMACOLOGY & PHARMACY - ESCI,201,,,0.54,98%
3705,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,J DRUG DELIV SCI TEC,1773-2247,2588-8943,PHARMACOLOGY & PHARMACY - SCIE,"10,771",5.062,Q2,1.24,1.74%
3706,JOURNAL OF DRUG TARGETING,J DRUG TARGET,1061-186X,1029-2330,PHARMACOLOGY & PHARMACY - SCIE,"5,583",5.016,Q2,0.99,3.38%
3707,JOURNAL OF DRUGS IN DERMATOLOGY,J DRUGS DERMATOL,1545-9616,1545-9616,DERMATOLOGY - SCIE,"3,724",1.608,Q4,0.59,0%
3708,JOURNAL OF DUAL DIAGNOSIS,J DUAL DIAGN,1550-4263,1550-4271,"PSYCHOLOGY, CLINICAL - SSCI",671,2.324,Q3,0.45,2%
3709,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,1079-2724,1573-8698,"MATHEMATICS, APPLIED - SCIE",700,1.27,Q3,0.48,6.29%
3710,JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS,J DYN DIFFER EQU,1040-7294,1572-9222,"MATHEMATICS, APPLIED - SCIE","2,225",1.819,Q2,1.28,11.96%
3711,JOURNAL OF EATING DISORDERS,J EAT DISORD,2050-2974,2050-2974,"PSYCHOLOGY, CLINICAL - SSCI","1,910",4.916,Q1,0.92,99.62%
3713,JOURNAL OF ECONOMIC PSYCHOLOGY,J ECON PSYCHOL,0167-4870,1872-7719,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","6,666",3.0,Q2,0.92,9.72%
3714,JOURNAL OF EDUCATION AND HEALTH PROMOTION,J EDUC HEALTH PROMOT,2277-9531,2319-6440,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","2,008",,,0.44,39.06%
3715,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1076-9986,1935-1054,"PSYCHOLOGY, MATHEMATICAL - SSCI","2,872",2.116,Q2,0.75,11.49%
3716,JOURNAL OF EDUCATIONAL MEASUREMENT,J EDUC MEAS,0022-0655,1745-3984,"PSYCHOLOGY, APPLIED - SSCI","7,257",1.188,Q4,0.36,2.56%
3718,JOURNAL OF ELECTRICAL ENGINEERING & TECHNOLOGY,J ELECTR ENG TECHNOL,1975-0102,2093-7423,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,036",1.528,Q4,0.33,1.87%
3719,JOURNAL OF ELECTRICAL ENGINEERING-ELEKTROTECHNICKY CASOPIS,J ELECTR ENG-SLOVAK,1335-3632,1339-309X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",708,0.84,Q4,0.19,99.02%
3720,JOURNAL OF ELECTRICAL SYSTEMS,J ELECTR SYST,1112-5209,1112-5209,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",226,,,0.14,0%
3721,JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE,J ELECTROMAGN ENG SC,2671-7255,2671-7263,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",328,1.866,Q3,0.56,100%
3722,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,J ELECTROMAGNET WAVE,0920-5071,1569-3937,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,534",1.438,Q4,0.31,1.54%
3723,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,J ELECTROMYOGR KINES,1050-6411,1873-5711,NEUROSCIENCES - SCIE,"6,948",2.641,Q4,0.77,7.66%
3726,JOURNAL OF ELECTRONIC IMAGING,J ELECTRON IMAGING,1017-9909,1560-229X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,697",0.829,Q4,0.23,4.33%
3727,JOURNAL OF ELECTRONIC MATERIALS,J ELECTRON MATER,0361-5235,1543-186X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","15,379",2.047,Q3,0.42,2.44%
3728,JOURNAL OF ELECTRONIC PACKAGING,J ELECTRON PACKAGING,1043-7398,1528-9044,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","1,814",1.931,Q3,0.47,1.18%
3730,JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,J ELECTRON TEST,0923-8174,1573-0727,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",594,0.795,Q4,0.23,4.27%
3731,JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY,J ELECTRON INF TECHN,1009-5896,1009-5896,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI","1,408",,,0.18,0%
3732,JOURNAL OF ELECTROSTATICS,J ELECTROSTAT,0304-3886,1873-5738,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","3,852",1.942,Q3,0.55,5.34%
3733,JOURNAL OF EMDR PRACTICE AND RESEARCH,J EMDR PRACT RES,1933-3196,1933-320X,"PSYCHOLOGY, CLINICAL - ESCI",441,,,0.34,0%
3734,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,J EMOT BEHAV DISORD,1063-4266,1538-4799,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,374",1.889,Q3,0.88,2.82%
3735,JOURNAL OF EMPLOYMENT COUNSELING,J EMPLOYMENT COUNS,0022-0787,2161-1920,"PSYCHOLOGY, APPLIED - SSCI",457,2.238,Q3,0.44,0%
3736,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,J ENDOCRINOL INVEST,0391-4097,1720-8386,ENDOCRINOLOGY & METABOLISM - SCIE,"9,039",5.467,Q2,0.89,21.34%
